Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S285592532,Canada Goose,Branta canadensis,342,14,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-22,08:44 AM,eBird - Traveling Count,97,1,1.571,,1,,,The day I don't bring my camera :(
S287406297,Canada Goose,Branta canadensis,342,115,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-12-05,01:21 PM,eBird - Traveling Count,83,1,1.196,,1
S219245705,Wood Duck,Aix sponsa,455,1,US-MD,Cecil,L827083,Conowingo Park,39.6588679,-76.156497,2025-03-18,11:30 AM,eBird - Traveling Count,30,1,.805,,1,,Drake
S269633855,Wood Duck,Aix sponsa,455,1,US-MD,Harford,L446446,Swan Harbor Farm Park,39.522482,-76.11444,2025-08-26,06:49 AM,eBird - Traveling Count,102,1,1.96,,1
S201829756,Wood Duck,Aix sponsa,455,4,US-MD,Prince George's,L3228196,"Konterra Drive fields and ponds (private property, restricted access)",39.0781569,-76.8924694,2024-11-08,03:30 PM,eBird - Traveling Count,195,1,2.414,,40,,,"53-70ºF, clear, wind WSW 1-5 mph.  Sunset 5:00 EST.  Caravan of 24 cars.    Konterra is private property, no trespassing. Jay Sheppard is the only person with permission from the land owner to enter the property and to host guided caravan birfing tours. Those who enter the property without permission from the land owner are trespassing. Anyone can bird or take pictures from the public sidewalk along Konterra Drive that surrounds north and east half of the property. The fields, ponds, and infrastructure built by the land owner are on private property, please do not trespass."
S198504448,Wood Duck,Aix sponsa,455,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2024-10-12,09:34 AM,eBird - Traveling Count,97,1,3.09,,13
S220957381,Wood Duck,Aix sponsa,455,4,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-03-25,08:30 AM,eBird - Traveling Count,105,1,1.609,,1,,,,632713229
S233832509,Wood Duck,Aix sponsa,455,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-05-06,09:25 AM,eBird - Traveling Count,123,1,1.696,,1
S234745565,Wood Duck,Aix sponsa,455,11,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-05-08,02:23 PM,eBird - Traveling Count,72,1,2.961,,1,,"10 babies, not all visible in picture",,635325388
S235551582,Wood Duck,Aix sponsa,455,4,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-05-10,06:46 AM,eBird - Traveling Count,134,1,1.728,,1
S273111794,Wood Duck,Aix sponsa,455,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-09-13,08:02 AM,eBird - Traveling Count,136,1,2.148,,1
S278420453,Wood Duck,Aix sponsa,455,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-10-10,07:29 AM,eBird - Traveling Count,156,1,.791,,1
S279692636,Wood Duck,Aix sponsa,455,1,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-10-16,07:34 AM,eBird - Traveling Count,157,1,1.262,,1
S282322765,Northern Shoveler,Spatula clypeata,501,1,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-01,08:06 AM,eBird - Traveling Count,149,1,1.168,,1,,chillin with the ruddies,,644461235
S289886153,Gadwall,Mareca strepera,505,2,US-MD,Cecil,L451204,Perryville Community Park,39.5471399,-76.0492516,2025-12-23,01:36 PM,eBird - Traveling Count,90,1,.719,,1,,,Conservative aythya estimates
S201826665,Gadwall,Mareca strepera,505,X,US-MD,Prince George's,L37903875,Konterra,38.9949955,-76.9330874,2023-11-08,,eBird - Casual Observation,,0,,,1
S201829756,Gadwall,Mareca strepera,505,27,US-MD,Prince George's,L3228196,"Konterra Drive fields and ponds (private property, restricted access)",39.0781569,-76.8924694,2024-11-08,03:30 PM,eBird - Traveling Count,195,1,2.414,,40,,,"53-70ºF, clear, wind WSW 1-5 mph.  Sunset 5:00 EST.  Caravan of 24 cars.    Konterra is private property, no trespassing. Jay Sheppard is the only person with permission from the land owner to enter the property and to host guided caravan birfing tours. Those who enter the property without permission from the land owner are trespassing. Anyone can bird or take pictures from the public sidewalk along Konterra Drive that surrounds north and east half of the property. The fields, ponds, and infrastructure built by the land owner are on private property, please do not trespass."
S285938033,American Wigeon,Mareca americana,517,50,US-MD,Baltimore,L558364,Loch Raven Reservoir--Primary Dam,39.43142,-76.5434647,2025-11-24,09:07 AM,eBird - Traveling Count,16,1,.074,,1,,,No EUWI :(
S289886153,Mallard,Anas platyrhynchos,545,10,US-MD,Cecil,L451204,Perryville Community Park,39.5471399,-76.0492516,2025-12-23,01:36 PM,eBird - Traveling Count,90,1,.719,,1,,,Conservative aythya estimates
S280099098,Mallard,Anas platyrhynchos,545,24,US-DC,District of Columbia,L247770,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,2025-10-18,10:40 AM,eBird - Traveling Count,34,1,1.664,,1,,,Birding riverwalk trail by bike
S275541248,Mallard,Anas platyrhynchos,545,60,US-DC,District of Columbia,L10127619,U. S. Capitol Grounds,38.8897649,-77.0112222,2025-09-26,07:56 AM,eBird - Traveling Count,43,1,.18,,1
S286222727,Mallard,Anas platyrhynchos,545,7,US-MD,Harford,L446446,Swan Harbor Farm Park,39.522482,-76.11444,2025-11-26,08:59 AM,eBird - Traveling Count,126,1,2.933,,1
S280080156,Mallard,Anas platyrhynchos,545,4,US-MD,Prince George's,L795955,Bladensburg Waterfront Park,38.9363,-76.938538,2025-10-18,09:56 AM,eBird - Traveling Count,20,1,1.011,,1,,,Birding by bike
S201826642,Mallard,Anas platyrhynchos,545,X,US-MD,Prince George's,L37903875,Konterra,38.9949955,-76.9330874,2023-11-08,,eBird - Casual Observation,,0,,,1
S201829756,Mallard,Anas platyrhynchos,545,35,US-MD,Prince George's,L3228196,"Konterra Drive fields and ponds (private property, restricted access)",39.0781569,-76.8924694,2024-11-08,03:30 PM,eBird - Traveling Count,195,1,2.414,,40,,,"53-70ºF, clear, wind WSW 1-5 mph.  Sunset 5:00 EST.  Caravan of 24 cars.    Konterra is private property, no trespassing. Jay Sheppard is the only person with permission from the land owner to enter the property and to host guided caravan birfing tours. Those who enter the property without permission from the land owner are trespassing. Anyone can bird or take pictures from the public sidewalk along Konterra Drive that surrounds north and east half of the property. The fields, ponds, and infrastructure built by the land owner are on private property, please do not trespass."
S216135760,Mallard,Anas platyrhynchos,545,1,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-03-01,04:15 PM,eBird - Traveling Count,75,1,3.219,,1
S220957381,Mallard,Anas platyrhynchos,545,1,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-03-25,08:30 AM,eBird - Traveling Count,105,1,1.609,,1
S235551582,Mallard,Anas platyrhynchos,545,3,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-05-10,06:46 AM,eBird - Traveling Count,134,1,1.728,,1
S281905245,Mallard,Anas platyrhynchos,545,15,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-10-29,08:29 AM,eBird - Traveling Count,84,1,.901,,1
S282322765,Mallard,Anas platyrhynchos,545,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-01,08:06 AM,eBird - Traveling Count,149,1,1.168,,1
S282991819,Mallard,Anas platyrhynchos,545,3,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-05,07:08 AM,eBird - Traveling Count,131,1,1.142,,1
S284142669,Mallard,Anas platyrhynchos,545,7,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-12,08:37 AM,eBird - Traveling Count,117,1,1.544,,1
S284396120,Mallard,Anas platyrhynchos,545,4,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-14,07:04 AM,eBird - Traveling Count,124,1,1.384,,1
S285185979,Mallard,Anas platyrhynchos,545,11,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-19,09:53 AM,eBird - Traveling Count,90,1,1.29,,1
S285318017,Mallard,Anas platyrhynchos,545,15,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-20,09:54 AM,eBird - Traveling Count,85,1,1.639,,1
S285592532,Mallard,Anas platyrhynchos,545,12,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-22,08:44 AM,eBird - Traveling Count,97,1,1.571,,1,,,The day I don't bring my camera :(
S287406297,Mallard,Anas platyrhynchos,545,3,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-12-05,01:21 PM,eBird - Traveling Count,83,1,1.196,,1
S280099098,American Black Duck,Anas rubripes,571,1,US-DC,District of Columbia,L247770,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,2025-10-18,10:40 AM,eBird - Traveling Count,34,1,1.664,,1,,,Birding riverwalk trail by bike
S201829756,American Black Duck,Anas rubripes,571,1,US-MD,Prince George's,L3228196,"Konterra Drive fields and ponds (private property, restricted access)",39.0781569,-76.8924694,2024-11-08,03:30 PM,eBird - Traveling Count,195,1,2.414,,40,,,"53-70ºF, clear, wind WSW 1-5 mph.  Sunset 5:00 EST.  Caravan of 24 cars.    Konterra is private property, no trespassing. Jay Sheppard is the only person with permission from the land owner to enter the property and to host guided caravan birfing tours. Those who enter the property without permission from the land owner are trespassing. Anyone can bird or take pictures from the public sidewalk along Konterra Drive that surrounds north and east half of the property. The fields, ponds, and infrastructure built by the land owner are on private property, please do not trespass."
S216135760,Canvasback,Aythya valisineria,666,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-03-01,04:15 PM,eBird - Traveling Count,75,1,3.219,,1
S287406297,Canvasback,Aythya valisineria,666,4,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-12-05,01:21 PM,eBird - Traveling Count,83,1,1.196,,1
S216135760,Redhead,Aythya americana,667,10,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-03-01,04:15 PM,eBird - Traveling Count,75,1,3.219,,1
S285938033,Ring-necked Duck,Aythya collaris,673,50,US-MD,Baltimore,L558364,Loch Raven Reservoir--Primary Dam,39.43142,-76.5434647,2025-11-24,09:07 AM,eBird - Traveling Count,16,1,.074,,1,,,No EUWI :(
S289886153,Ring-necked Duck,Aythya collaris,673,30,US-MD,Cecil,L451204,Perryville Community Park,39.5471399,-76.0492516,2025-12-23,01:36 PM,eBird - Traveling Count,90,1,.719,,1,,,Conservative aythya estimates
S201826625,Ring-necked Duck,Aythya collaris,673,X,US-MD,Prince George's,L37903875,Konterra,38.9949955,-76.9330874,2023-11-08,,eBird - Casual Observation,,0,,,1
S201829756,Ring-necked Duck,Aythya collaris,673,38,US-MD,Prince George's,L3228196,"Konterra Drive fields and ponds (private property, restricted access)",39.0781569,-76.8924694,2024-11-08,03:30 PM,eBird - Traveling Count,195,1,2.414,,40,,,"53-70ºF, clear, wind WSW 1-5 mph.  Sunset 5:00 EST.  Caravan of 24 cars.    Konterra is private property, no trespassing. Jay Sheppard is the only person with permission from the land owner to enter the property and to host guided caravan birfing tours. Those who enter the property without permission from the land owner are trespassing. Anyone can bird or take pictures from the public sidewalk along Konterra Drive that surrounds north and east half of the property. The fields, ponds, and infrastructure built by the land owner are on private property, please do not trespass."
S216135760,Ring-necked Duck,Aythya collaris,673,2,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-03-01,04:15 PM,eBird - Traveling Count,75,1,3.219,,1
S281905245,Ring-necked Duck,Aythya collaris,673,3,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-10-29,08:29 AM,eBird - Traveling Count,84,1,.901,,1,,FOS
S282322765,Ring-necked Duck,Aythya collaris,673,4,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-01,08:06 AM,eBird - Traveling Count,149,1,1.168,,1
S282991819,Ring-necked Duck,Aythya collaris,673,10,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-05,07:08 AM,eBird - Traveling Count,131,1,1.142,,1
S284142669,Ring-necked Duck,Aythya collaris,673,23,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-12,08:37 AM,eBird - Traveling Count,117,1,1.544,,1
S284396120,Ring-necked Duck,Aythya collaris,673,23,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-14,07:04 AM,eBird - Traveling Count,124,1,1.384,,1
S285185979,Ring-necked Duck,Aythya collaris,673,41,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-19,09:53 AM,eBird - Traveling Count,90,1,1.29,,1
S285318017,Ring-necked Duck,Aythya collaris,673,30,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2025-11-20,09:54 AM,eBird - Traveling Count,85,1,1.639,,1
